film,developer,dilution,iso,t35mm_min,t120_min,t_sheet_min,temp_c,mdc_row,source
Adox CHS 100,ABC Pyro,stock,100,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 100,Acufine,stock,100,3.0,3.0,3.0,20.0,,MassiveDevChart
Adox CHS 100,Acufine,stock,250,3.25,3.25,3.25,20.0,,MassiveDevChart
Adox CHS 100,Acurol-N,1+50,50,9.5,9.5,9.5,20.0,9647,MassiveDevChart
Adox CHS 100,Amaloco AM74,1+15,100,7.5,7.5,7.5,20.0,,MassiveDevChart
Adox CHS 100,Atomal 49,1+1,100,12.0,12.0,12.0,20.0,,MassiveDevChart
Adox CHS 100,Atomal 49,1+2,100,15.0,15.0,15.0,20.0,,MassiveDevChart
Adox CHS 100,Atomal 49,stock,100,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 100,BW-TNEG,stock,3,8.0,,,20.0,,MassiveDevChart
Adox CHS 100,D-76,1+1,100,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 100,D-76,stock,100,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 100,Eco Pro,1+2,64,8.5,8.5,8.5,20.0,,MassiveDevChart
Adox CHS 100,Eco Pro,1+2,80,11.75,11.75,11.75,20.0,,MassiveDevChart
Adox CHS 100,Eco Pro,stock,100,,,,20.0,,MassiveDevChart
Adox CHS 100,Emofin,stock,100,,,,20.0,,MassiveDevChart
Adox CHS 100,Emofin,stock,400,,,,20.0,5861,MassiveDevChart
Adox CHS 100,F76+,1+19,100,22.5,22.5,22.5,20.0,5736,MassiveDevChart
Adox CHS 100,F76+,1+4,64,12.0,12.0,12.0,20.0,,MassiveDevChart
Adox CHS 100,F76+,1+9,100,13.5,13.5,13.5,20.0,5735,MassiveDevChart
Adox CHS 100,Finol,1+1+100,80,13.5,13.5,13.5,24.0,,MassiveDevChart
Adox CHS 100,Fomadon LQN,1+10,100,9.0,9.0,9.0,20.0,,MassiveDevChart
Adox CHS 100,Fomadon R09,1+100,100,19.0,19.0,19.0,20.0,,MassiveDevChart
Adox CHS 100,Fomadon R09,1+50,100,9.5,9.5,9.5,20.0,,MassiveDevChart
Adox CHS 100,FX-39,1+14,100,11.0,11.0,11.0,20.0,5739,MassiveDevChart
Adox CHS 100,FX-39,1+9,100,7.0,7.0,7.0,20.0,5738,MassiveDevChart
Adox CHS 100,HC-110,B,100,5.5,5.5,6.0,20.0,5741,MassiveDevChart
Adox CHS 100,HC-110,B,100,6.25,6.25,6.25,18.0,5890,MassiveDevChart
Adox CHS 100,HC-110,H,100,11.0,11.0,11.0,20.0,5877,MassiveDevChart
Adox CHS 100,ID-11,1+1,100,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 100,ID-11,stock,100,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 100,Ilfosol 3,1+9,100,5.5,5.5,5.5,20.0,,MassiveDevChart
Adox CHS 100,Ilfotec DD-X,1+4,100,7.0,7.0,7.0,20.0,5864,MassiveDevChart
Adox CHS 100,Ilfotec DD-X,1+9,100,13.0,13.0,13.0,20.0,5865,MassiveDevChart
Adox CHS 100,Ilfotec LC29,1+29,100,11.0,11.0,11.0,20.0,,MassiveDevChart
Adox CHS 100,Microdol-X,1+3,100,17.0,17.0,17.0,25.0,,MassiveDevChart
Adox CHS 100,Microphen,1+3,100,18.0,18.0,18.0,21.0,,MassiveDevChart
Adox CHS 100,Neofin Blue,stock,100,15.0,15.0,15.0,20.0,5746,MassiveDevChart
Adox CHS 100,Neofin Blue,stock,100,8.0,8.0,8.0,20.0,5747,MassiveDevChart
Adox CHS 100,PC-TEA,1+50,100,10.5,10.5,10.5,20.0,5886,MassiveDevChart
Adox CHS 100,Perceptol,1+3,50,23.0,23.0,23.0,20.0,,MassiveDevChart
Adox CHS 100,PMK,1+2+100,100,10.0,10.0,10.0,20.0,5748,MassiveDevChart
Adox CHS 100,PMK,1+2+100,50,12.0,12.0,12.0,21.0,8192,MassiveDevChart
Adox CHS 100,Pyrocat-HD,2+2+100,100,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 100,Rodinal,1+100,100,16.0,16.0,16.0,20.0,,MassiveDevChart
Adox CHS 100,Rodinal,1+25,100,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 100,Rodinal,1+25,160,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 100,Rodinal,1+25,80,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 100,Rodinal,1+50,100,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 100,Rodinal,1+50,200,14.0,14.0,14.0,20.0,,MassiveDevChart
Adox CHS 100,Rodinal,1+50,400,24.0,24.0,24.0,20.0,,MassiveDevChart
Adox CHS 100,Rodinal,1+50,50,9.0,9.0,9.0,20.0,,MassiveDevChart
Adox CHS 100,Silberra Ascorol,1+29,100,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 100,Sprint Standard,1+9,100,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 100,Tanol,1+1+100,80,14.0,14.0,14.0,22.0,5869,MassiveDevChart
Adox CHS 100,Tanol,2+3+130,100,12.0,12.0,12.0,20.0,5870,MassiveDevChart
Adox CHS 100,TMax Dev,1+4,100,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 100,TMax Dev,1+9,100,6.0,6.0,6.0,24.0,,MassiveDevChart
Adox CHS 100,TMax RS,stock,100,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 100,TMax RS,stock,80,4.0,4.0,4.0,20.0,,MassiveDevChart
Adox CHS 100,Ultrafin,1+10,100,3.5,3.5,3.5,20.0,5761,MassiveDevChart
Adox CHS 100,Ultrafin,1+20,100,5.0,5.0,5.0,20.0,5762,MassiveDevChart
Adox CHS 100,Ultrafin,1+30,100,7.0,7.0,7.0,20.0,5763,MassiveDevChart
Adox CHS 100,WD2D+,stock,100,9.5,9.5,9.5,20.0,,MassiveDevChart
Adox CHS 100,XT-3,1+2,64,8.5,8.5,8.5,20.0,,MassiveDevChart
Adox CHS 100,XT-3,1+2,80,11.75,11.75,11.75,20.0,,MassiveDevChart
Adox CHS 100,XT-3,stock,100,,,,20.0,,MassiveDevChart
Adox CHS 100,Xtol,1+2,64,8.5,8.5,8.5,20.0,,MassiveDevChart
Adox CHS 100,Xtol,1+2,80,11.75,11.75,11.75,20.0,,MassiveDevChart
Adox CHS 100,Xtol,stock,100,,,,20.0,,MassiveDevChart
Adox CHS 100 II,510-Pyro,1+100,100,8.0,,,20.0,,MassiveDevChart
Adox CHS 100 II,510-Pyro,1+100,100,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 100 II,510-Pyro,1+100,200,13.0,,,20.0,,MassiveDevChart
Adox CHS 100 II,ADX II,1+24,100,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 100 II,Amaloco AM74,1+15,100,7.5,7.5,6.75,20.0,,MassiveDevChart
Adox CHS 100 II,Ars-Imago FD,1+39,100,6.0,6.0,6.0,20.0,11359,MassiveDevChart
Adox CHS 100 II,Atomal 49,1+1,100,10.0,10.0,9.0,20.0,,MassiveDevChart
Adox CHS 100 II,Atomal 49,stock,100,6.5,6.5,5.75,20.0,10009,MassiveDevChart
Adox CHS 100 II,Atomal 49,stock,100,4.0,,,25.0,19183,MassiveDevChart
Adox CHS 100 II,Caffenol C-H (rs),stock,100,12.5,12.5,12.5,20.0,,MassiveDevChart
Adox CHS 100 II,D-76,1+1,100,9.0,9.0,8.0,20.0,,MassiveDevChart
Adox CHS 100 II,D-76,stock,100,6.5,6.5,5.75,20.0,,MassiveDevChart
Adox CHS 100 II,Eco Pro,1+1,100,8.0,8.0,7.25,20.0,,MassiveDevChart
Adox CHS 100 II,F76+,1+9,64,9.0,9.0,,20.0,19415,MassiveDevChart
Adox CHS 100 II,FX-39,1+19,100,13.0,13.0,11.75,20.0,,MassiveDevChart
Adox CHS 100 II,FX-39,1+19,400,,19.0,,20.0,18546,MassiveDevChart
Adox CHS 100 II,FX-39,1+9,100,7.5,7.5,6.75,20.0,,MassiveDevChart
Adox CHS 100 II,FX-55,1+9,100,9.0,9.0,,20.0,18646,MassiveDevChart
Adox CHS 100 II,FX-55,stock,100,13.0,13.0,,20.0,,MassiveDevChart
Adox CHS 100 II,HC-110,B,100,5.5,5.5,5.0,20.0,10450,MassiveDevChart
Adox CHS 100 II,HC-110,B,100,8.0,8.0,7.25,20.0,9986,MassiveDevChart
Adox CHS 100 II,HC-110,B,200,7.5,7.5,7.5,20.0,12352,MassiveDevChart
Adox CHS 100 II,HC-110,B,400,9.0,9.0,9.0,20.0,11161,MassiveDevChart
Adox CHS 100 II,HC-110,D,100,7.0,7.0,6.25,20.0,10449,MassiveDevChart
Adox CHS 100 II,HC-110,E,100,9.0,9.0,8.0,20.0,10451,MassiveDevChart
Adox CHS 100 II,ID-11,1+1,100,9.0,9.0,8.0,20.0,,MassiveDevChart
Adox CHS 100 II,ID-11,1+1,100,7.5,,,20.0,,MassiveDevChart
Adox CHS 100 II,ID-11,stock,100,6.5,6.5,5.75,20.0,,MassiveDevChart
Adox CHS 100 II,Ilfotec DD-X,1+4,100,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 100 II,JOBO Alpha,1+1+18,100,7.5,,,22.0,18865,MassiveDevChart
Adox CHS 100 II,Neofin Blue,1+5,100,12.0,12.0,12.0,20.0,,MassiveDevChart
Adox CHS 100 II,Neofin Blue,1+9,100,20.0,20.0,20.0,20.0,,MassiveDevChart
Adox CHS 100 II,Paranol S,1+25,100,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 100 II,Paranol S,1+50,100,25.0,25.0,25.0,20.0,,MassiveDevChart
Adox CHS 100 II,Rodinal,1+100,100,60.0,,,19.5,21684,MassiveDevChart
Adox CHS 100 II,Rodinal,1+100,100,30.0,30.0,27.0,20.0,10008,MassiveDevChart
Adox CHS 100 II,Rodinal,1+100,50,,22.0,,20.0,19304,MassiveDevChart
Adox CHS 100 II,Rodinal,1+25,100,5.5,5.5,5.0,20.0,,MassiveDevChart
Adox CHS 100 II,Rodinal,1+25,200,12.0,,,20.0,,MassiveDevChart
Adox CHS 100 II,Rodinal,1+50,100,12.5,12.5,11.5,20.0,,MassiveDevChart
Adox CHS 100 II,Silberra Ascorol,1+29,100,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 100 II,Silvermax,1+19,100,8.5,8.5,7.5,20.0,,MassiveDevChart
Adox CHS 100 II,Silvermax,1+19,125,10.0,10.0,9.0,20.0,,MassiveDevChart
Adox CHS 100 II,SPD,stock,100,6.5,6.5,6.5,20.0,,MassiveDevChart
Adox CHS 100 II,Spur HRX,1+17,100,11.0,11.0,11.0,20.0,,MassiveDevChart
Adox CHS 100 II,Spur SLD,1+20,200,13.0,13.0,13.0,20.0,14047,MassiveDevChart
Adox CHS 100 II,Spur SLD,1+7,400,15.5,15.5,15.5,24.0,14106,MassiveDevChart
Adox CHS 100 II,Spur Speed-Major,1+14,250,13.0,13.0,13.0,20.0,14249,MassiveDevChart
Adox CHS 100 II,Spur Speed-Major,1+24,200,12.0,12.0,12.0,20.0,14248,MassiveDevChart
Adox CHS 100 II,Spur Speed-Major,1+35,125,9.0,9.0,9.0,20.0,14246,MassiveDevChart
Adox CHS 100 II,Spur Speed-Major,1+35,200,11.0,11.0,11.0,20.0,14247,MassiveDevChart
Adox CHS 100 II,Spur Speed-Major,1+7,500,15.0,15.0,15.0,20.0,,MassiveDevChart
Adox CHS 100 II,Spur Speed-Major,1+8,400,13.0,13.0,13.0,20.0,14250,MassiveDevChart
Adox CHS 100 II,Spur UFP,1+24,100,9.0,9.0,9.0,20.0,,MassiveDevChart
Adox CHS 100 II,XT-3,1+1,100,8.0,8.0,7.25,20.0,,MassiveDevChart
Adox CHS 100 II,Xtol,1+1,100,8.0,8.0,7.25,20.0,,MassiveDevChart
Adox CHS 100 II,Xtol,1+1,100,8.0,8.0,,20.0,,MassiveDevChart
Adox CHS 25,510-Pyro,1+100,16,6.5,6.5,6.5,20.0,,MassiveDevChart
Adox CHS 25,510-Pyro,1+100,16,5.0,5.0,5.0,21.0,5881,MassiveDevChart
Adox CHS 25,Acufine,stock,64,4.0,4.0,4.0,21.0,,MassiveDevChart
Adox CHS 25,Acurol-N,1+70,10,8.5,8.5,8.5,20.0,12257,MassiveDevChart
Adox CHS 25,Acurol-N,1+70,8,8.5,8.5,8.5,20.0,12256,MassiveDevChart
Adox CHS 25,Amaloco AM74,1+15,20,3.0,3.0,3.0,20.0,,MassiveDevChart
Adox CHS 25,Atomal 49,1+1,25,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 25,Atomal 49,1+2,25,7.0,7.0,10.0,20.0,,MassiveDevChart
Adox CHS 25,Atomal 49,stock,25,4.0,4.0,4.0,20.0,,MassiveDevChart
Adox CHS 25,Bellini DF2 Duo Step,stock,25,,,,20.0,,MassiveDevChart
Adox CHS 25,Beutler,1+1+10,25,7.5,7.5,7.5,20.0,5772,MassiveDevChart
Adox CHS 25,D-76,1+1,20,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 25,D-76,1+1,50(25),,,,20.0,5781,MassiveDevChart
Adox CHS 25,D-76,1+3,25,,,,20.0,,MassiveDevChart
Adox CHS 25,D-76,stock,50(25),6.0,6.0,6.0,20.0,5780,MassiveDevChart
Adox CHS 25,Diafine,stock,25,,,,20.0,,MassiveDevChart
Adox CHS 25,DK-50,stock,25,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 25,Eco Pro,1+1,50,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 25,Eco Pro,1+3,20,11.0,11.0,11.0,20.0,,MassiveDevChart
Adox CHS 25,Eco Pro,stock,20,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 25,Emofin,stock,25,,,,20.0,,MassiveDevChart
Adox CHS 25,Emofin,stock,32,,,,20.0,,MassiveDevChart
Adox CHS 25,F76+,1+19,25,12.5,12.5,12.5,20.0,5786,MassiveDevChart
Adox CHS 25,F76+,1+9,25,5.5,5.5,5.5,20.0,5785,MassiveDevChart
Adox CHS 25,F76+,1+9,50,8.5,8.5,8.5,20.0,5787,MassiveDevChart
Adox CHS 25,FD10,1+14,25,6.0,6.0,6.0,20.0,9554,MassiveDevChart
Adox CHS 25,Finol,1+1+100,20,7.0,7.0,7.0,24.0,,MassiveDevChart
Adox CHS 25,Finol,1+1+100,25,8.5,8.5,8.5,24.0,,MassiveDevChart
Adox CHS 25,Fomadon LQN,1+10,25,4.0,4.0,4.0,20.0,,MassiveDevChart
Adox CHS 25,Fomadon R09,1+100,25,18.0,18.0,18.0,20.0,,MassiveDevChart
Adox CHS 25,FX-39,1+19,32,6.0,6.0,6.0,20.0,5791,MassiveDevChart
Adox CHS 25,FX-39,1+9,25,4.0,4.0,4.0,20.0,5790,MassiveDevChart
Adox CHS 25,HC-110,B,25,7.0,7.0,7.0,20.0,5882,MassiveDevChart
Adox CHS 25,HC-110,H,50,7.0,7.0,7.0,20.0,5875,MassiveDevChart
Adox CHS 25,ID-11,1+1,20,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 25,ID-11,1+1,50(25),,,,20.0,5795,MassiveDevChart
Adox CHS 25,ID-11,1+3,25,,,,20.0,,MassiveDevChart
Adox CHS 25,ID-11,stock,50(25),6.0,6.0,6.0,20.0,5794,MassiveDevChart
Adox CHS 25,Ilfotec LC29,1+19,50,4.5,4.5,4.5,20.0,,MassiveDevChart
Adox CHS 25,Microdol-X,1+3,25,14.5,14.5,14.5,20.0,,MassiveDevChart
Adox CHS 25,Microphen,stock,25,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 25,Moersch eco,2+1+70,25,10.5,10.5,10.5,20.0,,MassiveDevChart
Adox CHS 25,Neofin Blue,stock,25,,,,20.0,5798,MassiveDevChart
Adox CHS 25,Neofin Blue,stock,25,3.75,3.75,3.75,20.0,5797,MassiveDevChart
Adox CHS 25,PMK,1+2+100,25,7.5,7.5,7.5,21.0,8268,MassiveDevChart
Adox CHS 25,Pyrocat-HD,1+1+100,12,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 25,Pyrocat-HD,2+2+100,25,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 25,Rodinal,1+100,12,9.0,9.0,9.0,20.0,,MassiveDevChart
Adox CHS 25,Rodinal,1+100,25,12.0,12.0,12.0,20.0,,MassiveDevChart
Adox CHS 25,Rodinal,1+100,25,11.0,11.0,11.0,20.0,5874,MassiveDevChart
Adox CHS 25,Rodinal,1+100,25,10.0,10.0,10.0,24.0,5866,MassiveDevChart
Adox CHS 25,Rodinal,1+100,25,17.0,18.0,17.0,21.0,,MassiveDevChart
Adox CHS 25,Rodinal,1+25,25,4.0,4.0,4.0,20.0,,MassiveDevChart
Adox CHS 25,Rodinal,1+50,12,3.5,3.5,3.5,20.0,,MassiveDevChart
Adox CHS 25,Rodinal,1+50,20,4.0,4.0,4.0,20.0,,MassiveDevChart
Adox CHS 25,Rodinal,1+50,25,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 25,Rodinal,1+99,20,6.5,6.5,6.5,20.0,,MassiveDevChart
Adox CHS 25,Sprint Standard,1+9,25,5.0,5.0,5.0,20.0,5871,MassiveDevChart
Adox CHS 25,Tanol,1+1+100,16,12.5,12.5,12.5,20.0,5867,MassiveDevChart
Adox CHS 25,Tanol Speed,1+1+130,25,12.0,12.0,12.0,24.0,8216,MassiveDevChart
Adox CHS 25,TMax Dev,1+4,25,,,,20.0,,MassiveDevChart
Adox CHS 25,TMax RS,stock,25,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 25,Ultrafin,1+10,20,3.0,3.0,3.0,20.0,,MassiveDevChart
Adox CHS 25,Ultrafin,1+10,20,2.0,2.0,2.0,20.0,5813,MassiveDevChart
Adox CHS 25,Ultrafin,1+20,20,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 25,Ultrafin,1+20,20,2.5,2.5,2.5,20.0,5815,MassiveDevChart
Adox CHS 25,Ultrafin,1+30,20,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 25,Ultrafin,1+30,20,3.5,3.5,3.5,20.0,5817,MassiveDevChart
Adox CHS 25,WD2D+,stock,25,9.0,9.0,9.0,20.0,,MassiveDevChart
Adox CHS 25,XT-3,1+1,50,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 25,XT-3,1+3,20,11.0,11.0,11.0,20.0,,MassiveDevChart
Adox CHS 25,XT-3,stock,20,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 25,Xtol,1+1,50,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 25,Xtol,1+3,20,11.0,11.0,11.0,20.0,,MassiveDevChart
Adox CHS 25,Xtol,stock,20,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 50,Acufine,stock,160,2.75,2.75,2.75,20.0,,MassiveDevChart
Adox CHS 50,Acurol-N,1+50,40,,,,20.0,9663,MassiveDevChart
Adox CHS 50,Amaloco AM74,1+15,40,3.5,3.5,3.5,20.0,,MassiveDevChart
Adox CHS 50,Atomal 49,1+1,50,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 50,Atomal 49,1+2,50,11.0,11.0,11.0,20.0,,MassiveDevChart
Adox CHS 50,Atomal 49,stock,50,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 50,Bellini DF2 Duo Step,stock,50,,,,20.0,15126,MassiveDevChart
Adox CHS 50,Beutler,1+1+10,50,8.5,8.5,8.5,20.0,5823,MassiveDevChart
Adox CHS 50,D-76,1+1,100(50),12.0,12.0,12.0,20.0,5830,MassiveDevChart
Adox CHS 50,D-76,1+1,40,5.25,5.25,5.25,20.0,,MassiveDevChart
Adox CHS 50,D-76,1+1,50,,,,20.0,,MassiveDevChart
Adox CHS 50,D-76,stock,100(50),7.0,7.0,7.0,20.0,5829,MassiveDevChart
Adox CHS 50,D-76,stock,50,6.5,6.5,6.5,20.0,,MassiveDevChart
Adox CHS 50,Diafine,stock,50,,,,20.0,5887,MassiveDevChart
Adox CHS 50,Eco Pro,1+1,50,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 50,Eco Pro,stock,50,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 50,Emofin,stock,50,,,,20.0,,MassiveDevChart
Adox CHS 50,Emofin,stock,64,,,,20.0,,MassiveDevChart
Adox CHS 50,Finol,1+1+100,50,10.0,10.0,10.0,24.0,,MassiveDevChart
Adox CHS 50,Fomadon LQN,1+10,50,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 50,Fomadon R09,1+100,50,19.0,19.0,19.0,20.0,,MassiveDevChart
Adox CHS 50,FX-39,1+9,50,5.5,5.5,5.5,20.0,5837,MassiveDevChart
Adox CHS 50,HC-110,B,50,7.0,7.0,7.0,20.0,5892,MassiveDevChart
Adox CHS 50,ID-11,1+1,100(50),12.0,12.0,12.0,20.0,5839,MassiveDevChart
Adox CHS 50,ID-11,1+1,40,5.25,5.25,5.25,20.0,,MassiveDevChart
Adox CHS 50,ID-11,1+1,50,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 50,ID-11,stock,100(50),7.0,7.0,7.0,20.0,5838,MassiveDevChart
Adox CHS 50,ID-11,stock,50,6.5,6.5,6.5,20.0,,MassiveDevChart
Adox CHS 50,ID-68,stock,50,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 50,Marathon,1+9,100,6.5,6.5,6.5,20.0,,MassiveDevChart
Adox CHS 50,Neofin Blue,stock,50,8.0,8.0,8.0,20.0,5880,MassiveDevChart
Adox CHS 50,Neofin Blue,stock,50,4.0,4.0,4.0,20.0,5842,MassiveDevChart
Adox CHS 50,PMK,1+2+100,50,8.0,8.0,7.5,20.0,8201,MassiveDevChart
Adox CHS 50,Rodinal,1+100,50,18.0,18.0,18.0,20.0,,MassiveDevChart
Adox CHS 50,Rodinal,1+200,50,50.0,50.0,50.0,20.0,9570,MassiveDevChart
Adox CHS 50,Rodinal,1+25,50,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 50,Rodinal,1+50,50,9.0,9.0,9.0,20.0,,MassiveDevChart
Adox CHS 50,Silberra Ascorol,1+29,50,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 50,Sprint Standard,1+9,50,8.5,8.5,8.5,20.0,,MassiveDevChart
Adox CHS 50,Tanol,1+1+100,32,12.0,12.0,12.0,22.0,5868,MassiveDevChart
Adox CHS 50,TMax Dev,1+4,50,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 50,TMax RS,stock,50,5.0,5.0,5.0,20.0,,MassiveDevChart
Adox CHS 50,Ultrafin,1+10,40,3.5,3.5,3.5,20.0,,MassiveDevChart
Adox CHS 50,Ultrafin,1+10,40,2.0,2.0,2.0,20.0,5850,MassiveDevChart
Adox CHS 50,Ultrafin,1+20,40,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 50,Ultrafin,1+20,40,2.5,2.5,2.5,20.0,5852,MassiveDevChart
Adox CHS 50,Ultrafin,1+30,40,12.0,12.0,12.0,20.0,,MassiveDevChart
Adox CHS 50,Ultrafin,1+30,40,3.5,3.5,3.5,20.0,5854,MassiveDevChart
Adox CHS 50,WD2D+,stock,50,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 50,XT-3,1+1,50,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 50,XT-3,stock,50,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 50,Xtol,1+1,50,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 50,Xtol,stock,50,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CMS 20 II,Adotech III,1+11,20,,,,20.0,,MassiveDevChart
Adox CMS 20 II,Adotech III,1+9,20,8.0,9.0,9.0,20.0,,MassiveDevChart
Adox CMS 20 II,Adotech IV,1+14,10,10.5,10.5,10.5,22.0,,MassiveDevChart
Adox CMS 20 II,Adotech IV,1+14,12,10.0,10.0,10.0,23.0,,MassiveDevChart
Adox CMS 20 II,Adotech IV,1+14,20,11.0,11.0,11.0,20.0,,MassiveDevChart
Adox CMS 20 II,Adotech IV,1+14,25,11.0,11.0,11.0,26.0,,MassiveDevChart
Adox CMS 20 II,Adotech IV,1+14,3,7.5,7.5,7.5,20.0,,MassiveDevChart
Adox CMS 20 II,Adotech IV,1+14,6,,,,20.0,,MassiveDevChart
Adox CMS 20 II,Atomal 49,1+2,20,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CMS 20 II,Caffenol C-L,1+1,12,15.0,15.0,15.0,20.0,11568,MassiveDevChart
Adox CMS 20 II,Caffenol C-L,stock,20,15.0,15.0,15.0,20.0,11567,MassiveDevChart
Adox CMS 20 II,Caffenol LC+C,stock,20,15.0,15.0,15.0,20.0,5089,MassiveDevChart
Adox CMS 20 II,D-76,1+3,20,10.5,10.5,10.5,21.0,,MassiveDevChart
Adox CMS 20 II,D-76,stock,20,8.0,8.0,8.0,20.0,17360,MassiveDevChart
Adox CMS 20 II,Eco Pro,stock,20,6.5,6.5,6.5,20.0,,MassiveDevChart
Adox CMS 20 II,Fomadon Excel,stock,20,21.5,,,18.0,,MassiveDevChart
Adox CMS 20 II,HC-110,G,12,60.0,60.0,60.0,20.0,17362,MassiveDevChart
Adox CMS 20 II,HC-110,G,20,16.5,16.5,16.5,20.0,16962,MassiveDevChart
Adox CMS 20 II,ID-11,1+3,20,10.5,10.5,10.5,21.0,,MassiveDevChart
Adox CMS 20 II,ID-11,stock,20,8.0,8.0,8.0,20.0,17361,MassiveDevChart
Adox CMS 20 II,Ilfosol 3,1+14,20,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CMS 20 II,JOBO Alpha,1+1+98,9,8.0,,,22.0,18889,MassiveDevChart
Adox CMS 20 II,Perceptol,stock,20,10.0,10.0,10.0,23.0,8639,MassiveDevChart
Adox CMS 20 II,PMK,1+2+100,12,10.0,10.0,10.0,20.0,5474,MassiveDevChart
Adox CMS 20 II,POTA,stock,12,,,12.5,20.0,18347,MassiveDevChart
Adox CMS 20 II,POTA,stock,12,6.5,6.5,6.5,24.0,17174,MassiveDevChart
Adox CMS 20 II,Rodinal,1+100,20,18.0,18.0,18.0,20.0,5479,MassiveDevChart
Adox CMS 20 II,Rodinal,1+200,10,,,,20.0,8164,MassiveDevChart
Adox CMS 20 II,Rollei Supergrain,1+14,12,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CMS 20 II,Rollei Supergrain,1+24,12,11.5,11.5,11.5,23.0,,MassiveDevChart
Adox CMS 20 II,Romek PQ9,1+53,25,33.0,33.0,33.0,20.0,12297,MassiveDevChart
Adox CMS 20 II,Sprint Standard,1+9,12,8.5,,,20.0,18405,MassiveDevChart
Adox CMS 20 II,Spur Nanospeed,1+24,20,5.5,5.5,5.5,20.0,8667,MassiveDevChart
Adox CMS 20 II,Spur Nanotech UR,1+14,40,15.0,15.0,15.0,30.0,14227,MassiveDevChart
Adox CMS 20 II,Spur Nanotech UR,1+14,8,9.0,9.0,9.0,20.0,14222,MassiveDevChart
Adox CMS 20 II,Spur Nanotech UR,1+20,12,12.0,12.0,12.0,20.0,14223,MassiveDevChart
Adox CMS 20 II,Spur Nanotech UR,1+20,25,10.0,10.0,10.0,28.0,14225,MassiveDevChart
Adox CMS 20 II,Spur Nanotech UR,1+20,32,15.0,15.0,15.0,30.0,14226,MassiveDevChart
